"Elemento","categorias","n_cats"
"Os02g0620600","hyper - Azucena (CG context) - Upstream | hyper - Azucena (CHG context) - Upstream | hypo - Azucena (CHH context) - Upstream | BGI_DOWN",4
"Os04g0359300","hyper - Azucena (CG context) - Upstream | AZU_UP",2
"Os08g0256700","hyper - Azucena (CG context) - Upstream | AZU_UP",2
"Os09g0381400","hyper - Azucena (CG context) - Upstream | AZU_UP",2
"Os12g0582900","hyper - Azucena (CG context) - Upstream | AZU_UP",2
"Os01g0566500","hypo - Azucena (CG context) - Upstream | hypo - Azucena (CHH context) - Upstream | hypo - BGI (CHH context) - Upstream | AZU_DOWN | BGI_UP",5
"Os03g0130300","hypo - Azucena (CG context) - Upstream | AZU_DOWN",2
"Os03g0693900","hypo - Azucena (CG context) - Upstream | hyper - Azucena (CHH context) - Upstream | AZU_DOWN | BGI_UP",4
"Os04g0688500","hypo - Azucena (CG context) - Upstream | AZU_DOWN | BGI_DOWN",3
"Os05g0219900","hypo - Azucena (CG context) - Upstream | AZU_UP",2
"Os08g0249000","hypo - Azucena (CG context) - Upstream | hypo - Azucena (CHH context) - Upstream | BGI_DOWN",3
"Os09g0358100","hypo - Azucena (CG context) - Upstream | AZU_UP",2
"Os12g0151000","hypo - Azucena (CG context) - Upstream | AZU_UP",2
"Os01g0621200","hypo - Azucena (CHG context) - Upstream | AZU_DOWN",2
"Os01g0699600","hypo - Azucena (CHG context) - Upstream | AZU_DOWN",2
"Os02g0686100","hypo - Azucena (CHG context) - Upstream | hypo - BGI (CHH context) - Upstream | AZU_DOWN",3
"Os03g0594400","hypo - Azucena (CHG context) - Upstream | BGI_DOWN",2
"Os04g0560100","hypo - Azucena (CHG context) - Upstream | BGI_UP",2
"Os04g0610600","hypo - Azucena (CHG context) - Upstream | BGI_DOWN",2
"Os05g0421450","hypo - Azucena (CHG context) - Upstream | hypo - BGI (CHH context) - Upstream | AZU_DOWN",3
"Os05g0421600","hypo - Azucena (CHG context) - Upstream | hypo - BGI (CHH context) - Upstream | AZU_DOWN",3
"Os06g0114200","hypo - Azucena (CHG context) - Upstream | AZU_UP",2
"Os06g0626700","hypo - Azucena (CHG context) - Upstream | BGI_UP",2
"Os10g0167250","hypo - Azucena (CHG context) - Upstream | BGI_UP",2
"Os10g0527601","hypo - Azucena (CHG context) - Upstream | BGI_UP",2
"Os11g0289700","hypo - Azucena (CHG context) - Upstream | AZU_DOWN",2
"Os01g0304400","hyper - Azucena (CHG context) - Upstream | hypo - Azucena (CHH context) - Upstream | hypo - BGI (CHH context) - Upstream | AZU_DOWN",4
"Os04g0645200","hyper - Azucena (CHG context) - Upstream | hyper - Azucena (CHH context) - Upstream | BGI_DOWN",3
"Os05g0101600","hyper - Azucena (CHG context) - Upstream | AZU_DOWN",2
"Os07g0502900","hyper - Azucena (CHG context) - Upstream | hypo - BGI (CHH context) - Upstream | BGI_UP",3
"Os08g0437300","hyper - Azucena (CHG context) - Upstream | AZU_DOWN",2
"Os01g0144500","hypo - Azucena (CHH context) - Upstream | hyper - BGI (CHH context) - Upstream | BGI_UP",3
"Os01g0179600","hypo - Azucena (CHH context) - Upstream | AZU_DOWN | BGI_UP",3
"Os01g0501800","hypo - Azucena (CHH context) - Upstream | BGI_UP",2
"Os01g0639600","hypo - Azucena (CHH context) - Upstream | BGI_UP",2
"Os01g0803800","hypo - Azucena (CHH context) - Upstream | BGI_DOWN",2
"Os01g0947000","hypo - Azucena (CHH context) - Upstream | BGI_UP",2
"Os02g0101500","hypo - Azucena (CHH context) - Upstream | BGI_DOWN",2
"Os02g0188000","hypo - Azucena (CHH context) - Upstream | BGI_DOWN",2
"Os02g0198700","hypo - Azucena (CHH context) - Upstream | AZU_UP",2
