Gene_Id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Os07g0418500,592.79695859225,-4.39162857723492,0.279836419130443,-15.6935562243162,1.67408241480804E-55,4.13230503271216E-51
Os05g0503650,410.688560261562,3.32420981261781,0.248860369549128,13.3577307573738,1.06769651650298E-40,1.31775104066798E-36
Os05g0499300,3944.89419278201,2.40715921467398,0.181566206997325,13.2577490849354,4.06927221468659E-40,3.34819717824413E-36
Os05g0463000,219.78653552749,5.34390080673893,0.414078042213354,12.9055401686465,4.18867910757083E-38,2.58483387728196E-34
Os04g0308600,243.784648374753,4.46469911391751,0.348938608573092,12.7950848780389,1.74661537197659E-37,8.62269076837403E-34
Os04g0554500,1830.17687329611,3.21755701224789,0.256044069469006,12.5664188157944,3.23027642631866E-36,1.3289357217875E-32
Os12g0163700,225.863244775235,4.4802648502154,0.360749960786726,12.4193079340738,2.0532998995199E-35,7.24052210282131E-32
Os03g0291500,8282.84407379096,3.18284768326244,0.25772775652358,12.3496503682607,4.89235809560249E-35,1.50953709039815E-31
Os04g0288100,1241.76050624386,2.74769741349628,0.225044190739682,12.2095905007149,2.76276179519997E-34,7.57733468363511E-31
Os02g0483500,174.422544033614,-5.64891336974591,0.467759828690231,-12.0765252235605,1.4053403350525E-33,3.46894208304359E-30
Os03g0836800,1563.21484748344,3.0980080489267,0.260559001171565,11.8898523366952,1.33642650679372E-32,2.99894108124511E-29
Os10g0546100,197.241147420956,4.63382943640039,0.411415683415056,11.2631326981416,1.99536953037843E-29,4.10447512398844E-26
Os06g0108600,152.975197052639,6.33608478972529,0.570958093107751,11.097285188196,1.29312255414632E-28,2.45534131742675E-25
Os01g0557100,319.815045383415,-4.15151465905453,0.379581078808265,-10.9370958955295,7.661484333019E-28,1.35082913768744E-24
Os03g0255100,1051.25860439303,2.00823200731957,0.189250794288977,10.6114852244852,2.63526338162801E-26,4.33658942080706E-23
Os10g0551800,1482.52610341104,2.3774654718603,0.22504813009325,10.5642533927084,4.36427589295383E-26,6.73298663385452E-23
Os07g0225300,1547.83959540072,-1.92703645244009,0.182831052643042,-10.5399844533107,5.65082393616224E-26,8.20499635530758E-23
Os03g0111200,1201.81365295974,2.48716801418368,0.23613278837614,10.5329210368779,6.09143404780022E-26,8.35338655755003E-23
Os02g0198700,201.370082608667,3.25584527959958,0.311537654889809,10.4508884511928,1.45158955604476E-25,1.8858440316531E-22
Os05g0186300,375.269807805265,2.69842495591577,0.26002691533666,10.3774832402334,3.13942276588959E-25,3.69016721681993E-22
Os07g0104750,128.595518740538,6.55223759882187,0.631265412201735,10.3795289147379,3.07287713139546E-25,3.69016721681993E-22
Os07g0542900,261.286798425878,5.0341085060776,0.487269527884521,10.3312606637504,5.08873428612518E-25,5.70955986903245E-22
Os04g0554600,355.758240971294,3.68534101379452,0.360685256797635,10.2176092433471,1.65369066635921E-24,1.77476958297438E-21
Os07g0638801,99.4405808145347,5.16040004654485,0.509446783189407,10.1294192383314,4.09071806079335E-24,4.20730352552596E-21
Os03g0661300,3214.97059589259,1.88786210479979,0.186844403665781,10.1039264102163,5.30736781648505E-24,5.24028268728468E-21
Os01g0347600,171.897121274739,2.82558510832647,0.289674921646569,9.75433113873059,1.76762010385153E-22,1.6781513324412E-19
Os02g0718100,2371.09740596062,2.11980308415328,0.217464427734152,9.74781533807782,1.8848061214185E-22,1.72313164078127E-19
Os10g0536600,102.395806143978,5.20111697344042,0.534825721576366,9.7248818888337,2.36179330781432E-22,2.08208950036031E-19
Os09g0367700,177.378492565667,-3.15877943186927,0.326303713017137,-9.68048877734768,3.64966922732495E-22,3.10649776576859E-19
Os11g0643800,710.409862305901,2.24532928617979,0.234524662294371,9.57395808276016,1.02889465974231E-21,8.4657452603597E-19
Os03g0341000,689.260390485605,-2.25634406897826,0.236730611585568,-9.53127292607314,1.55366310830943E-21,1.23711677953258E-18
Os01g0249800,244.464758928572,2.40135397692756,0.252398573228859,9.5141345143428,1.83231744920993E-21,1.3635317253672E-18
Os04g0142400,663.132621834507,-3.01954499275464,0.317460354534965,-9.51156561636761,1.8781428724066E-21,1.3635317253672E-18
Os04g0651000,648.491540092216,-2.35766085048314,0.24774262026917,-9.51657348227594,1.78983411304747E-21,1.3635317253672E-18
Os07g0484200,78.6498169352181,5.66053892542156,0.597266470979603,9.47740949887486,2.60673907043478E-21,1.83842134898892E-18
Os07g0410300,114.36940242064,-3.25082109998778,0.343255277909137,-9.47056406470843,2.78336568900244E-21,1.90846107409267E-18
Os03g0437200,162.537188437715,-3.60661003881341,0.381703622393366,-9.44871839622368,3.43004530858863E-21,2.28830374046491E-18
Os07g0214900,124.50335066762,3.92582497828754,0.416184258873408,9.43290115996836,3.98900073000921E-21,2.59117089525125E-18
Os04g0650700,2827.37709331097,-1.81188911478655,0.194595345459741,-9.31106091209875,1.26561774701131E-20,8.01038678646852E-18
Os02g0654700,965.009997113425,-2.18282037343767,0.235915576382805,-9.25254875878034,2.19202154809722E-20,1.35269649733079E-17
Os03g0749300,1050.63641054743,2.02268165745722,0.21899951338031,9.23600982594275,2.55861014898916E-20,1.54040811994264E-17
Os03g0719000,507.217334867106,1.75290424473034,0.193519832522899,9.05800827686703,1.32854176026134E-19,7.80802971673591E-17
Os04g0674800,93.6861489754335,4.02960478996655,0.447454641030547,9.00561625796492,2.14457935666901E-19,1.23108829860507E-16
