Gene_Id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Os06g0240050,47.3159472505713,-7.33390595629624,1.10023187675142,-6.66578210581441,2.63259597567925E-11,3.47396931734974E-09
Os03g0693800,19.4193128232713,-6.93743472567223,1.31090901899879,-5.29207948463937,1.20933306929593E-07,6.75068898131429E-06
Os09g0571700,8.1984567882209,-6.66439769733726,1.4199825323874,-4.69329554789133,2.68838658675843E-06,0.000102146598603027
Os12g0545400,4.86489643464751,-5.91062083384073,1.56191611030384,-3.78421145338653,0.000154196685926651,0.00305536091590236
Os09g0552600,7.25166859475174,-5.49658708292145,1.44342840879464,-3.80800810724757,0.00014009068137304,0.00281101990343386
Os06g0486900,53.460028214239,-5.13990999874335,0.591890866547543,-8.68388125115712,3.82488108618345E-18,1.6712751959853E-15
Os07g0419000,4.62915437184043,-4.83252532955694,1.57291712698311,-3.07233308523115,0.00212392579732976,0.0243780124464349
Os03g0643700,159.290490914577,-4.72317651355275,0.363959267449008,-12.9772118365264,1.64770182466134E-38,4.17577073423922E-35
Os09g0518200,47.7846153438416,-4.71184602077787,0.580341745569639,-8.11908854868422,4.69697735750893E-16,1.56625654172827E-13
Os02g0812600,4.24958068048517,-4.70582830436932,1.60917958698646,-2.924364901485,0.00345159869160342,0.0355007571596207
Os01g0179901,4.16318579790673,-4.67909774974778,1.61113440649011,-2.90422557602832,0.00368162796498424,0.0371727081739425
Os03g0693900,22.6092642044486,-4.61264993411164,0.769962599077613,-5.99074544612612,2.08881366694098E-09,1.79446795800967E-07
Os11g0594000,3.8424168742825,-4.55669533333157,1.61909500407132,-2.81434710246987,0.00488764222317862,0.0461210933500608
Os02g0484200,45.1076922305307,-4.39992906195994,0.559363646152028,-7.86595462938629,3.66293290162398E-15,1.00901857093322E-12
Os07g0418500,2013.68126951021,-4.39335861145896,0.259683559882794,-16.9181237866651,3.30801770861783E-64,2.79450309298339E-60
Os01g0179600,741.418738627597,-4.37808958676085,0.277237840955461,-15.7918182152638,3.54220748763289E-56,2.24425410897701E-52
Os09g0564600,6.27752385986195,-4.34520976415842,1.34284421769253,-3.2358256504429,0.00121291444135346,0.0160015047825199
Os01g0249050,9.21239862359648,-4.34005483704765,1.1623721538468,-3.73379112935947,0.000188618936014281,0.00359952537304964
Os06g0235800,6.34844793407692,-4.32919370558683,1.36927374897637,-3.16167143993171,0.00156866448667757,0.0193830639131496
Os02g0483500,61.4360383218762,-4.17878537596595,0.504094117990243,-8.28969279115221,1.13541340630145E-16,4.1106831365568E-14
Os12g0459100,19.4958884776713,-4.17707180025685,0.919799154330561,-4.54128684571031,5.59118971529791E-06,0.000191483136425399
Os11g0145200,422.469506565952,-4.06700592563493,0.230754967290099,-17.6247817041442,1.58981127500952E-69,4.02905871425664E-65
Os01g0557100,207.177745601792,-4.06641659603398,0.32798871924363,-12.3980379734141,2.67800666981171E-35,5.80935115886588E-32
Os01g0638000,854.219823605894,-3.9251719733405,0.229406235623915,-17.1101363599173,1.24707198492388E-65,1.58022726569629E-61
Os10g0361900,41.2190891416583,-3.8771478582062,0.50515951811121,-7.67509612152383,1.65294655561689E-14,4.18906245589988E-12
Os03g0428700,13.3938659075288,-3.8208208840498,0.848089329382525,-4.50521042026511,6.6307205044567E-06,0.000221108354926903
Os10g0523201,8.51314324458188,-3.74374108746105,1.05391311255128,-3.55222934687501,0.000381981761291754,0.00638981107354252
